"Törökbálinti TC","Hungary"
"Buffalo Stallions (indoor)","America"
"SK Smíchov","Czechia"
"Cleveland Slavia","America"
"Schumachers","America"
"Policial de Durazno","Uruguay"
"Hertha Vienna","Austria"
"Club Naucalpan","Mexico"
"SG Chemnitz-West","Germany"
"Marymont Warszawa","Poland"
"Morgan F.C.","America"
"1. FC Lichtenfels (p/m)","Germany"
"Toronto Inter-Roma","Canada"
"Kuşadasıspor","Turkey"
"Saint-Denis Saint-Leu","France"
"Tempête de Nanga-Eboko","Cameroon"
"Bergantiños B","Spain"
"Boluspor","Turkey"
"MTK Hungária{{efn-lr","Hungary"
"MEDOSZ Marcali","Hungary"
"US H Bou Hadjar","Algeria"
"Rapid Amateur","Austria"
"Metalosport București","Romania"
"SPC Helfort Wien","Austria"
"Sloga Belgrade","Serbia"
"Deportivo Vasco de Caracas","Venezuela, Bolivarian Republic of"
"FC Zvezda Moscow","Russian Federation"
"KFC Schoten SK","Belgium"
"Syrio e Libanez","Brazil"
"Abrisajac","Spain"
"FC SKA Rostov-on-Don","Russian Federation"
"FC Avangard Kolomna","Russian Federation"
"Bayonne Rovers","America"
"Steamfitters","America"
"Teniente Fariña","Paraguay"
"VfR Neuss","Germany"
"Sparta Považská Bystrica","Slovakia"
"ABC Braník","Czechia"
"Italia Unidos","Italy"
"New York Arrows (indoor)","America"
"São Bento de Marília","Brazil"
"Knokke FC","Belgium"
"Szekszárdi Dózsa","Hungary"
"Castle Shannon SC","America"
"1. FC Posen","Germany"
"SG Ordnungspolizei Berlin","Germany"
"Hagalunds IS","Sweden"
"FC Krylya Sovetov Moscow","Russian Federation"
"A.S. Città di Anagni Calcio","Italy"
"Deportivo Juventud","Paraguay"
"VfR Jettingen","Germany"
"Calpe FC","Gibraltar"
"Mbankomo Club","Cameroon"
"Fulgerul Chișinău","Romania"
"SR Donaufeld","Austria"
"SKA Rostov-on-Don","Russian Federation"
"SC Oelde 1919","Germany"
"Saint-Nicolas FC","England"
"NK Poštar Zagreb","Austria"
"Union Weißkirchen","Austria"
"C.D. Tampico","Mexico"
"US Belfort","France"
"Antalyaspor","Turkey"
"SVS Linz","Austria"
"Kleinwiesendorf","Austria"
"SK Sifhälla","Sweden"
"HSV Groß Born (guest player)","Germany"
"Buffalo Stalions","America"
"SC Westtünnen","Germany"
"Jiul Petroșani","Romania"
"FC Zbrojovka Brno","Czechia"
"FK Viktoria Žižkov","Czechia"
"AC Sparta Prague B","Czechia"
"Spartak BS Vlašim","Czechia"
"Viktoria Žižkov","Czechia"
"Issia Wazi","Ivory Coast"
"Spartak Brno ZJŠ","Czechia"
"Borussia Dortmund","Germany"
"Borussia Mönchengladbach II","Germany"
"Wuppertaler SV Borussia","Germany"
"Tennis Borussia Berlin","Germany"
"Borussia Mönchengladbach","Germany"
"Borussia Dortmund II","Germany"
"FC Schalke 04","Germany"
"FC Schalke 04 II","Germany"
"VfL Wolfsburg","Germany"
"Tasmania 1900 Berlin","Germany"
"Karlsruher SC","Germany"
