"Iperzola Ponteroncariale","{'Italy': 14}"
"Argentinos Juniors","{'Argentina': 42, 'Bolivia, Plurinational State of': 1, 'Brazil': 2, 'Colombia': 2, 'Italy': 2, 'Jersey': 9, 'Paraguay': 2, 'Trinidad and Tobago': 2, 'Uruguay': 2, 'America': 27}"
"Al-Nassr FC","{'Albania': 2, 'United Arab Emirates': 9, 'Argentina': 10, 'Bulgaria': 6, 'Bahrain': 2, 'Bolivia, Plurinational State of': 3, 'Brazil': 48, 'China': 2, 'Cameroon': 6, 'Colombia': 12, 'Czechia': 1, 'Germany': 4, 'Algeria': 2, 'Ecuador': 2, 'Egypt': 14, 'Spain': 14, 'France': 12, 'United Kingdom': 12, 'Ghana': 4, 'Greece': 2, 'Croatia': 14, 'Ireland': 3, 'Iraq': 4, 'Italy': 12, 'Japan': 6, 'Korea, Republic of': 3, 'Kuwait': 14, 'Libya': 3, 'Morocco': 6, 'Mali': 2, 'Montenegro': 3, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 4, 'New Zealand': 6, 'Oman': 8, 'Peru': 2, 'Poland': 2, 'Portugal': 20, 'Qatar': 6, 'Romania': 6, 'Saudi Arabia': 110, 'Sudan': 6, 'Senegal': 2, 'Serbia': 2, 'Slovakia': 2, 'Syrian Arab Republic': 2, 'Thailand': 2, 'Uruguay': 6, 'Uzbekistan': 8, 'Northern Ireland': 3, 'Yugoslavia': 9, 'South Korea': 9, 'Turkey': 3, 'Russia': 3}"
"GNK Dinamo Zagreb","{'Albania': 2, 'Australia': 3, 'Austria': 4, 'Bosnia and Herzegovina': 2, 'Switzerland': 2, 'Cyprus': 2, 'Germany': 2, 'Spain': 6, 'Estonia': 2, 'Greece': 2, 'Croatia': 326, 'Hungary': 18, 'Italy': 2, 'North Macedonia': 2, 'Mali': 2, 'Montenegro': 3, 'Netherlands': 2, 'Oman': 6, 'Peru': 10, 'Portugal': 4, 'Romania': 3, 'Serbia': 4, 'Slovakia': 8, 'Slovenia': 8, 'England': 9, 'Scotland': 3, 'Yugoslavia': 135}"
"Stourbridge F.C.","{'Bermuda': 3, 'Ghana': 2, 'Norway': 2, 'England': 78}"
"Connecticut Bicentennials","{'Brazil': 2, 'United States': 6, 'America': 69}"
"Al-Ahli Saudi FC","{'United Arab Emirates': 3, 'Brazil': 32, 'Switzerland': 4, 'China': 2, 'Germany': 4, 'Egypt': 6, 'Indonesia': 2, 'India': 2, 'Iran, Islamic Republic of': 1, 'Iraq': 2, 'Korea, Republic of': 1, 'Kuwait': 2, 'Oman': 2, 'Peru': 6, 'Qatar': 4, 'Saudi Arabia': 54, 'Sudan': 2, 'Syrian Arab Republic': 4, 'Tajikistan': 2, 'Tunisia': 6, 'Uzbekistan': 2, 'England': 6, 'South Korea': 3}"
"Tampa Bay Rowdies (1975-1993)","{'Australia': 6, 'Bermuda': 3, 'Canada': 18, 'Chile': 2, 'Haiti': 4, 'Iran, Islamic Republic of': 4, 'Jersey': 57, 'Netherlands': 6, 'Oman': 4, 'United States': 10, 'South Africa': 8, 'England': 12, 'America': 249, 'Yugoslavia': 3}"
"HNK Rijeka","{'Austria': 8, 'Bosnia and Herzegovina': 6, 'Brazil': 2, 'Switzerland': 4, 'Germany': 4, 'Croatia': 256, 'Hungary': 12, 'Iran, Islamic Republic of': 2, 'Italy': 26, 'Montenegro': 9, 'Oman': 4, 'Portugal': 2, 'Serbia': 2, 'Slovenia': 2, 'Yugoslavia': 132}"
"FC Lugano","{'Switzerland': 10, 'France': 4, 'Latvia': 2, 'Oman': 2, 'America': 3}"
"S.S. Sambenedettese Calcio","{'France': 2, 'Italy': 8}"
"33 FC","{'Hungary': 15}"
"Oghab F.C.","{'Iran, Islamic Republic of': 25}"
"FC Hansa Rostock","{'Germany': 52, 'Slovakia': 2}"
"Fenerbahçe S.K. (football team)","{'Albania': 2, 'Azerbaijan': 4, 'Bulgaria': 2, 'Brazil': 8, 'Cyprus': 4, 'Czechia': 1, 'Germany': 2, 'Greece': 4, 'Hungary': 3, 'Monaco': 4, 'Moldova, Republic of': 1, 'Netherlands': 2, 'Oman': 16, 'Portugal': 2, 'Romania': 9, 'Serbia': 8, 'Uruguay': 2, 'Yemen': 2, 'England': 3, 'Yugoslavia': 6, 'Turkey': 78}"
"FC Red Bull Salzburg","{'Albania': 2, 'Armenia': 2, 'Austria': 302, 'Azerbaijan': 2, 'Belgium': 12, 'Bulgaria': 2, 'Belarus': 2, 'Switzerland': 4, 'Cyprus': 4, 'Czechia': 1, 'Germany': 42, 'Denmark': 4, 'Spain': 18, 'France': 2, 'Faroe Islands': 3, 'Greece': 4, 'Croatia': 12, 'India': 4, 'Ireland': 9, 'Iran, Islamic Republic of': 1, 'Israel': 10, 'Italy': 24, 'Jersey': 3, 'Lithuania': 4, 'Luxembourg': 4, 'Latvia': 6, 'Moldova, Republic of': 1, 'Malta': 2, 'Netherlands': 14, 'Norway': 2, 'Oman': 6, 'Poland': 2, 'Portugal': 4, 'Romania': 9, 'Slovakia': 2, 'Sweden': 6, 'Ukraine': 6, 'United States': 4, 'England': 12, 'Scotland': 3, 'Yugoslavia': 9, 'Turkey': 6, 'Russia': 9}"
"Al-Arabi SC (Kuwait)","{'Bahrain': 4, 'China': 2, 'Germany': 2, 'Denmark': 2, 'Algeria': 2, 'Croatia': 2, 'Iran, Islamic Republic of': 1, 'Italy': 6, 'Kyrgyzstan': 4, 'Korea, Republic of': 1, 'Kuwait': 326, 'Lebanon': 8, 'Malaysia': 3, 'Oman': 6, 'Poland': 4, 'Qatar': 8, 'Romania': 3, 'Saudi Arabia': 10, 'Syrian Arab Republic': 2, 'Yemen': 2, 'South Korea': 3, 'Turkey': 9}"
"PAOK F.C.","{'Australia': 3, 'Austria': 14, 'Brazil': 2, 'Switzerland': 2, 'Germany': 2, 'France': 2, 'Georgia': 33, 'Greece': 240, 'Croatia': 2, 'Hungary': 6, 'India': 2, 'Israel': 2, 'Italy': 2, 'Jersey': 18, 'Lao People\'s Democratic Republic': 6, 'Monaco': 4, 'Mali': 10, 'Oman': 10, 'Portugal': 8, 'Romania': 9, 'Serbia': 10, 'Slovakia': 2, 'Uruguay': 6, 'Turkey': 3, 'Russia': 6}"
"SC Young Fellows Juventus","{'Switzerland': 10, 'Oman': 2}"
"Arka Gdynia","{'Bulgaria': 4, 'Brazil': 2, 'Czechia': 2, 'Germany': 2, 'Spain': 2, 'Oman': 2, 'Poland': 166, 'Serbia': 2}"
"NK Inter Zaprešić","{'Croatia': 174, 'Serbia': 2, 'England': 3}"
"Club Necaxa","{'Argentina': 6, 'Brazil': 6, 'Chile': 12, 'Germany': 2, 'Ecuador': 8, 'Spain': 2, 'Jersey': 3, 'Mexico': 192, 'Oman': 6, 'Peru': 8, 'El Salvador': 2, 'Suriname': 2, 'Uruguay': 6, 'England': 9, 'Scotland': 3, 'America': 24}"
"TJ Slovan Liberec","{'Austria': 2, 'Azerbaijan': 2, 'Switzerland': 4, 'Cyprus': 4, 'Czechia': 6, 'Germany': 14, 'Spain': 10, 'France': 8, 'United Kingdom': 2, 'Georgia': 3, 'Greece': 4, 'Croatia': 4, 'Ireland': 3, 'Israel': 2, 'Italy': 8, 'Kazakhstan': 4, 'Liechtenstein': 2, 'Lithuania': 2, 'Latvia': 2, 'Netherlands': 10, 'Oman': 8, 'Portugal': 6, 'Romania': 12, 'Serbia': 4, 'Slovakia': 20, 'Sweden': 2, 'Ukraine': 3, 'England': 6, 'Russia': 6}"
"Guangzhou Evergrande Taobao F.C.","{'Angola': 4, 'Australia': 6, 'Belarus': 4, 'Brazil': 12, 'Canada': 6, 'China': 278, 'Cameroon': 4, 'Congo': 4, 'Colombia': 4, 'Hong Kong': 6, 'Honduras': 4, 'Italy': 6, 'Korea, Republic of': 7, 'Niger': 4, 'Nigeria': 4, 'Oman': 8, 'Peru': 4, 'Paraguay': 8, 'Romania': 12, 'Serbia': 4, 'Trinidad and Tobago': 6, 'Uruguay': 4, 'America': 9, 'South Korea': 21, 'Russia': 3}"
"C.D. Santa Clara","{'Angola': 10, 'Albania': 2, 'Armenia': 2, 'Brazil': 2, 'Canada': 3, 'Gabon': 2, 'Guinea': 6, 'Hungary': 3, 'Iran, Islamic Republic of': 1, 'Iraq': 2, 'Japan': 3, 'Libya': 9, 'Morocco': 2, 'North Macedonia': 2, 'Mali': 2, 'Mozambique': 2, 'Niger': 4, 'Nigeria': 4, 'Oman': 6, 'Panama': 4, 'Portugal': 42, 'El Salvador': 2, 'Serbia': 2, 'Slovakia': 2, 'Slovenia': 2, 'Chad': 4, 'Uruguay': 2, 'Venezuela, Bolivarian Republic of': 1}"
"FC Midtjylland","{'Denmark': 34, 'Egypt': 2, 'Spain': 2, 'Hungary': 3, 'Ireland': 6, 'Kazakhstan': 2, 'Monaco': 4, 'Niger': 2, 'Nigeria': 2, 'New Zealand': 6, 'Sweden': 2, 'Scotland': 3, 'Wales': 3, 'Northern Ireland': 3, 'Russia': 3}"
"Legon Cities FC","{'Ghana': 38, 'Greece': 2}"
"Mumbai City FC","{'Brazil': 4, 'Costa Rica': 2, 'France': 2, 'Haiti': 2, 'India': 368, 'Iraq': 8, 'Jersey': 18, 'Oman': 14, 'Portugal': 2, 'Saudi Arabia': 2, 'Senegal': 6, 'Chad': 2, 'Uruguay': 2, 'England': 6}"
"Club Atlético Banfield","{'Argentina': 74, 'Brazil': 2, 'Colombia': 4, 'Ecuador': 2, 'Georgia': 3, 'Greece': 2, 'Iran, Islamic Republic of': 3, 'Jersey': 6, 'Mexico': 2, 'Oman': 2, 'Uruguay': 10, 'America': 39}"
"Eintracht Frankfurt","{'Austria': 10, 'Switzerland': 4, 'Germany': 192, 'France': 4, 'Croatia': 2, 'Hungary': 15, 'Mali': 4, 'Oman': 10, 'Romania': 3, 'Scotland': 3, 'Wales': 3, 'Yugoslavia': 12, 'Russia': 18}"
"FCE Meetjesland","{}"
"C.D. Euzkadi","{'Argentina': 16, 'Chile': 4, 'China': 2, 'Costa Rica': 2, 'Cuba': 8, 'Denmark': 2, 'Spain': 14, 'France': 8, 'Italy': 4, 'Mexico': 124, 'Norway': 2, 'Panama': 2, 'Peru': 2, 'Poland': 2, 'Paraguay': 4, 'Slovakia': 2, 'United States': 6, 'America': 24, 'Russia': 12}"
"FC Wien","{}"
"Sporting Club de Barranquilla","{}"
"New York City FC","{'Australia': 6, 'Austria': 6, 'Brazil': 12, 'Costa Rica': 2, 'Spain': 2, 'Finland': 2, 'France': 2, 'Ghana': 2, 'Iceland': 2, 'Jersey': 69, 'Japan': 3, 'Oman': 6, 'Paraguay': 4, 'Romania': 9, 'Sweden': 2, 'Uruguay': 6, 'United States': 10, 'England': 33, 'Scotland': 3, 'America': 39, 'Russia': 12}"
"HNK Gorica","{'Croatia': 92, 'Slovenia': 2, 'Yugoslavia': 3}"
"Barcelona Sporting Club","{'Argentina': 16, 'Bolivia, Plurinational State of': 3, 'Brazil': 14, 'Chile': 6, 'Colombia': 10, 'Ecuador': 164, 'Spain': 6, 'Jersey': 3, 'Mexico': 2, 'Peru': 2, 'Paraguay': 4, 'Chad': 2, 'Uruguay': 10, 'America': 15}"
"Hellas Verona F.C.","{'Australia': 9, 'Denmark': 6, 'France': 12, 'Greece': 2, 'Italy': 38, 'Jersey': 3, 'Korea, Republic of': 3, 'Mexico': 4, 'Oman': 2, 'Serbia': 6, 'South Korea': 9}"
"NK Hrvatski Dragovoljac","{'Albania': 2, 'Austria': 2, 'Denmark': 4, 'France': 2, 'Croatia': 118, 'Ireland': 3, 'Peru': 4, 'Slovenia': 2, 'Wales': 3, 'Northern Ireland': 3}"
"Neuchâtel Xamax FCS","{'Aruba': 3, 'Argentina': 2, 'Austria': 2, 'Bulgaria': 2, 'Bosnia and Herzegovina': 2, 'Brazil': 2, 'Central African Republic': 3, 'Switzerland': 44, 'Cameroon': 2, 'Germany': 8, 'Egypt': 2, 'Spain': 6, 'France': 16, 'Croatia': 2, 'Hungary': 3, 'Ireland': 6, 'Italy': 6, 'Liechtenstein': 2, 'Niger': 2, 'Nigeria': 2, 'Philippines': 2, 'Portugal': 2, 'Saudi Arabia': 2, 'Senegal': 2, 'Sierra Leone': 2, 'Slovakia': 4, 'England': 3, 'Yugoslavia': 12}"
"1. FC Hochstadt","{}"
"Club Deportivo Palestino","{'Argentina': 36, 'Brazil': 4, 'Chile': 210, 'Hungary': 3, 'Israel': 4, 'Jersey': 3, 'Oman': 2, 'Peru': 2, 'Paraguay': 2, 'El Salvador': 4, 'Thailand': 2, 'Uruguay': 8, 'England': 3, 'America': 27, 'Yugoslavia': 3}"
"C.D. Cobreloa","{'Brazil': 2, 'Chile': 292, 'Germany': 2, 'Iran, Islamic Republic of': 1, 'Montenegro': 3, 'Netherlands': 4, 'Chad': 2, 'Uruguay': 8, 'United States': 2, 'America': 15}"
"IFK Norrköping","{'Albania': 2, 'Austria': 4, 'Belgium': 4, 'Brazil': 2, 'Czechia': 2, 'Germany': 4, 'Denmark': 2, 'France': 2, 'Faroe Islands': 3, 'Hungary': 9, 'Ireland': 6, 'Iran, Islamic Republic of': 1, 'Iceland': 2, 'Israel': 2, 'Italy': 12, 'Lithuania': 2, 'Luxembourg': 2, 'Latvia': 2, 'Monaco': 4, 'Malta': 2, 'Niger': 2, 'Nigeria': 2, 'Norway': 4, 'Oman': 2, 'Portugal': 2, 'Romania': 3, 'Sweden': 124, 'England': 15, 'Scotland': 6, 'Northern Ireland': 3, 'Yugoslavia': 3}"
"Athletic Bilbao","{'Belgium': 2, 'Spain': 44, 'France': 2, 'Iran, Islamic Republic of': 3, 'Jersey': 3, 'Oman': 4, 'Ukraine': 12, 'England': 6, 'America': 3}"
"Virtus Entella","{'Albania': 4, 'Argentina': 2, 'France': 6, 'Italy': 38}"
"Albany Capitals","{'England': 3, 'America': 36}"
"Wolfenden Shore","{}"
"Lokomotíva Košice","{'Austria': 2, 'Slovakia': 66}"
"Real Cartagena","{'Argentina': 2, 'Colombia': 60, 'Germany': 6, 'Spain': 2, 'India': 2, 'Lebanon': 2, 'Portugal': 2}"
"FC Veszprém","{'Hungary': 9}"
"Iberia La Habana","{}"
"Olympique Lyonnais","{'Belgium': 2, 'China': 2, 'Cameroon': 6, 'France': 96, 'Jordan': 2, 'Japan': 3, 'Luxembourg': 2, 'Mali': 2, 'Oman': 2, 'England': 6, 'America': 15}"
"Catania Calcio","{'Australia': 3, 'Brazil': 2, 'France': 12, 'Italy': 16, 'Monaco': 2, 'Mali': 2, 'United States': 2, 'America': 3}"
"Centro de Futebol Zico Sociedade Esportiva","{'Brazil': 120, 'Guinea': 2, 'Equatorial Guinea': 2, 'Iran, Islamic Republic of': 3, 'Japan': 12, 'Lebanon': 2}"
"Ceará Sporting Club","{'Argentina': 4, 'Brazil': 208, 'Portugal': 2, 'Paraguay': 4, 'Uruguay': 6, 'America': 27}"
"Marília Atlético Clube","{'Brazil': 18, 'Oman': 2}"
"Real Madrid C","{'Ecuador': 2, 'Spain': 104, 'Jordan': 2, 'Panama': 2, 'Portugal': 2, 'Venezuela, Bolivarian Republic of': 1}"
"Wiener Sport-Club","{'Austria': 56, 'Germany': 4, 'Denmark': 2, 'Hungary': 3, 'Ireland': 3, 'Niger': 2, 'Nigeria': 2, 'Oman': 2, 'Poland': 2, 'Romania': 3, 'Serbia': 4}"
"FC Presnya Moscow","{'Iraq': 2, 'Lithuania': 2, 'Oman': 2, 'Russia': 126}"
"Tottenham Hotspur","{'Argentina': 4, 'Brazil': 12, 'Canada': 9, 'Switzerland': 2, 'China': 4, 'Germany': 4, 'France': 2, 'United Kingdom': 6, 'Hong Kong': 2, 'India': 16, 'Ireland': 9, 'Israel': 4, 'Jersey': 24, 'Korea, Republic of': 1, 'Oman': 4, 'South Africa': 6, 'England': 168, 'Scotland': 18, 'Wales': 15, 'Northern Ireland': 6, 'South Korea': 3}"
"AC Mantova","{'Brazil': 2, 'France': 4, 'Italy': 12}"
"Montreal Olympique","{'Argentina': 2, 'Bermuda': 3, 'Brazil': 2, 'Canada': 6, 'Germany': 2, 'Spain': 2, 'Israel': 2, 'Italy': 12, 'Jersey': 15, 'Korea, Republic of': 2, 'United States': 2, 'England': 21, 'Scotland': 15, 'America': 54, 'South Korea': 6, 'Russia': 6}"
"VfB Admira Wacker Mödling","{'Austria': 168, 'Azerbaijan': 2, 'Belgium': 4, 'Bulgaria': 2, 'Switzerland': 2, 'Cyprus': 2, 'Czechia': 2, 'Germany': 10, 'Denmark': 2, 'Finland': 2, 'France': 2, 'Croatia': 8, 'Hungary': 6, 'Iran, Islamic Republic of': 2, 'Italy': 6, 'Lithuania': 2, 'Mali': 2, 'Poland': 8, 'Slovakia': 4, 'Slovenia': 4, 'Tajikistan': 2, 'Ukraine': 3, 'England': 3, 'Wales': 3, 'Yugoslavia': 3}"
"Brooklyn Wanderers","{'Jersey': 6, 'America': 45}"
"Hamburger SV II","{'Germany': 12, 'Iran, Islamic Republic of': 1}"
"Associação Académica de Coimbra - O.A.F.","{'Brazil': 2, 'Iran, Islamic Republic of': 1, 'Mozambique': 2, 'Portugal': 214, 'Chad': 6}"
"K.R.C. Genk","{'Australia': 3, 'Austria': 2, 'Belgium': 58, 'Bosnia and Herzegovina': 2, 'Congo': 2, 'Germany': 6, 'Denmark': 4, 'Spain': 2, 'Finland': 2, 'Guinea': 2, 'Gambia': 2, 'Croatia': 2, 'Israel': 4, 'Jamaica': 3, 'Mali': 2, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 12, 'Norway': 4, 'Oman': 2, 'Peru': 2, 'Portugal': 2, 'Romania': 3, 'Senegal': 2, 'Serbia': 2, 'Slovakia': 2, 'Tanzania, United Republic of': 1, 'Ukraine': 3, 'South Africa': 2, 'Scotland': 6, 'America': 3, 'Turkey': 3}"
"TSG 1899 Hoffenheim","{'Austria': 4, 'Germany': 78, 'Ghana': 2, 'Croatia': 2, 'Netherlands': 4, 'United States': 2, 'Russia': 3}"
"Racing Club de France Colombes 92","{'Austria': 2, 'Germany': 2, 'Algeria': 4, 'France': 148, 'Hungary': 3, 'Iceland': 2, 'Jersey': 3, 'Jordan': 4, 'Morocco': 6, 'Netherlands': 2, 'Uruguay': 2, 'Yugoslavia': 3, 'Turkey': 6}"
"FC Ural Yekaterinburg","{'Armenia': 10, 'Belarus': 18, 'Chile': 4, 'Cameroon': 4, 'Congo': 4, 'Estonia': 4, 'Georgia': 6, 'Hungary': 6, 'Iceland': 4, 'Israel': 4, 'Kazakhstan': 18, 'Lithuania': 6, 'Moldova, Republic of': 1, 'Norway': 4, 'Nepal': 2, 'Oman': 14, 'Poland': 8, 'Romania': 6, 'Tajikistan': 10, 'Ukraine': 12, 'Uzbekistan': 12, 'Zambia': 4, 'America': 3, 'Russia': 270}"
"VfR Kaiserslautern","{'Germany': 16}"
"C.D. Maxaquene","{'Guam': 3, 'Jersey': 3, 'Mozambique': 48, 'Portugal': 18, 'South Africa': 4, 'Zimbabwe': 4}"
"S.C. Beira-Mar","{'Australia': 3, 'Belgium': 2, 'Brazil': 8, 'Canada': 3, 'Cyprus': 2, 'Czechia': 1, 'Egypt': 2, 'Spain': 2, 'Guinea': 2, 'Equatorial Guinea': 2, 'Ireland': 3, 'Mali': 2, 'Montenegro': 6, 'Malaysia': 3, 'Portugal': 92, 'Paraguay': 2, 'Senegal': 2, 'Slovakia': 2, 'Sweden': 2, 'South Africa': 2, 'England': 3, 'Wales': 3}"
"RC Roubaix","{'France': 24}"
"Real Oviedo","{'Argentina': 14, 'Belgium': 2, 'Chile': 4, 'Denmark': 2, 'Spain': 254, 'Guinea': 4, 'Equatorial Guinea': 4, 'Croatia': 6, 'Ireland': 3, 'Iceland': 2, 'Italy': 4, 'Kenya': 2, 'Madagascar': 2, 'Mexico': 6, 'North Macedonia': 2, 'Oman': 4, 'Panama': 4, 'Portugal': 6, 'Paraguay': 4, 'Romania': 6, 'Senegal': 2, 'Serbia': 10, 'Slovakia': 6, 'Ukraine': 3, 'Uruguay': 6, 'United States': 2, 'Venezuela, Bolivarian Republic of': 1, 'England': 12, 'America': 3, 'Yugoslavia': 18, 'Russia': 3}"
"Instituto Atlético Central Córdoba","{'Argentina': 74, 'Paraguay': 2, 'Uruguay': 2}"
"FC Groningen","{'Cyprus': 4, 'Iceland': 4, 'Italy': 2, 'Jersey': 3, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 30, 'Oman': 2, 'Serbia': 4}"
"Alianza Lima","{'Argentina': 12, 'Brazil': 14, 'Switzerland': 2, 'Chile': 16, 'Colombia': 14, 'Cuba': 2, 'Ecuador': 4, 'Spain': 2, 'Georgia': 3, 'Greece': 2, 'Jersey': 6, 'Mexico': 2, 'Oman': 2, 'Panama': 4, 'Peru': 500, 'Paraguay': 4, 'Syrian Arab Republic': 1, 'Chad': 2, 'Uruguay': 30, 'Venezuela, Bolivarian Republic of': 6, 'America': 39, 'Yugoslavia': 3}"
"Atlético de Madrid","{'Argentina': 6, 'Austria': 4, 'Azerbaijan': 14, 'Brazil': 2, 'Czechia': 2, 'Germany': 4, 'Denmark': 2, 'Spain': 32, 'France': 4, 'United Kingdom': 12, 'India': 22, 'Iran, Islamic Republic of': 5, 'Israel': 24, 'Italy': 4, 'Jersey': 3, 'Monaco': 4, 'Moldova, Republic of': 1, 'Mexico': 2, 'Oman': 8, 'Pakistan': 14, 'Portugal': 6, 'Romania': 12, 'Singapore': 2, 'Uruguay': 4, 'United States': 8, 'England': 9, 'America': 3, 'Turkey': 3, 'Russia': 9}"
"Canto do Rio Foot-Ball Club","{'Brazil': 16, 'America': 3}"
"Audax Club Sportivo Italiano","{'Chile': 74, 'Italy': 2, 'America': 15}"
"US Créteil-Lusitanos","{'Bosnia and Herzegovina': 2, 'Germany': 2, 'Algeria': 2, 'Spain': 2, 'France': 98, 'Oman': 2, 'Portugal': 4, 'Uruguay': 2}"
"Alliance Dudelange","{'Germany': 2, 'Denmark': 2, 'Luxembourg': 24}"
"Deportes Concepción (Chile)","{'Argentina': 28, 'Bolivia, Plurinational State of': 2, 'Brazil': 4, 'Chile': 196, 'Colombia': 2, 'Ecuador': 4, 'Paraguay': 8, 'El Salvador': 2, 'Uruguay': 6, 'America': 3}"
"Al-Ittihad Club (Tripoli)","{'Brazil': 6, 'Dominica': 2, 'Dominican Republic': 3, 'Algeria': 2, 'Egypt': 4, 'Italy': 6, 'Libya': 123, 'Moldova, Republic of': 2, 'Montenegro': 3, 'Niger': 2, 'Nigeria': 2, 'Oman': 4, 'Portugal': 2, 'Romania': 6, 'Serbia': 4, 'Tunisia': 2, 'Ukraine': 3}"
"Royale Union Saint-Gilloise","{'Belgium': 66, 'Germany': 4, 'France': 2, 'Poland': 2, 'America': 6}"
"FShM Moscow","{'Russia': 12}"
