"NK TOŠK Tešanj","{'Bosnia and Herzegovina': 44}"
"Hibernian F.C.","{'Andorra': 2, 'Canada': 3, 'Cyprus': 6, 'France': 4, 'Ghana': 8, 'Ireland': 18, 'Iran, Islamic Republic of': 1, 'Jordan': 2, 'Korea, Republic of': 2, 'Mali': 2, 'Oman': 6, 'Peru': 2, 'Uruguay': 4, 'England': 9, 'Scotland': 207, 'Wales': 6, 'America': 3, 'South Korea': 6}"
"Club de Futbol Universidad de Costa Rica","{'Colombia': 2, 'Costa Rica': 42}"
"Carlisle United F.C.","{'Spain': 2, 'United Kingdom': 4, 'Ireland': 18, 'Jordan': 2, 'Saint Kitts and Nevis': 6, 'Oman': 2, 'South Africa': 6, 'England': 168, 'Scotland': 30, 'America': 9}"
"Ternana Calcio","{'France': 2, 'Italy': 10, 'Peru': 4}"
"Vagonul Arad","{'Austria': 2, 'Hungary': 3, 'Oman': 22, 'Romania': 33}"
"Rosario Central","{'Argentina': 144, 'Brazil': 8, 'Cuba': 2, 'France': 2, 'Hungary': 3, 'Jersey': 3, 'Chad': 4, 'Uruguay': 10, 'England': 3, 'America': 24, 'Turkey': 3}"
"Racing Club Heemstede","{'Netherlands': 8}"
"Gimnasia y Esgrima de Jujuy","{'Argentina': 110, 'Bolivia, Plurinational State of': 1, 'Iran, Islamic Republic of': 2, 'New Zealand': 6, 'Paraguay': 2, 'Uruguay': 2, 'America': 3}"
"Näsvikens IK","{'Sweden': 8}"
"VfL Bochum","{'Germany': 12}"
"FK Partizan","{'Australia': 6, 'Austria': 2, 'Bosnia and Herzegovina': 4, 'Brazil': 6, 'Canada': 6, 'Switzerland': 4, 'China': 8, 'Germany': 2, 'France': 6, 'Israel': 4, 'Jersey': 21, 'Japan': 3, 'Moldova, Republic of': 1, 'North Macedonia': 2, 'Mali': 2, 'Malta': 2, 'Montenegro': 39, 'Niger': 2, 'Nigeria': 2, 'Peru': 4, 'Portugal': 10, 'Sierra Leone': 2, 'Serbia': 196, 'Slovakia': 4, 'Slovenia': 4, 'Sweden': 2, 'United States': 4, 'Wales': 3, 'America': 9, 'Yugoslavia': 138}"
"San Jose Clash","{'Argentina': 2, 'Canada': 24, 'Switzerland': 2, 'Chile': 2, 'Germany': 4, 'Spain': 2, 'Georgia': 3, 'Ireland': 6, 'Jersey': 66, 'Jordan': 2, 'Mexico': 4, 'El Salvador': 2, 'Serbia': 2, 'Sweden': 6, 'United States': 30, 'England': 12, 'Scotland': 6, 'America': 39, 'Yugoslavia': 3}"
"Real Murcia","{'Spain': 10, 'Iran, Islamic Republic of': 2}"
"Real Burgos CF","{'Spain': 12, 'Croatia': 2, 'Hungary': 3, 'Oman': 2, 'Romania': 3}"
"FC Etar (Veliko Tarnovo)","{'Bulgaria': 70, 'Germany': 2}"
"Club Atlético Lanús","{'Argentina': 50, 'Brazil': 4, 'Colombia': 10, 'France': 2, 'Paraguay': 4, 'America': 66}"
"Mamelodi Sundowns F.C.","{'Brazil': 10, 'Chile': 2, 'Congo': 4, 'Algeria': 4, 'Egypt': 12, 'Spain': 2, 'Liberia': 2, 'Niger': 8, 'Nigeria': 8, 'Seychelles': 2, 'South Africa': 144, 'Zambia': 4}"
"UD Alzira","{'Spain': 6}"
"TSG Saargemünd","{'France': 8, 'Jordan': 4, 'America': 3}"
"Kaposvár Kinizsi","{}"
"Alianza F.C.","{'Argentina': 2, 'Brazil': 2, 'Chile': 18, 'Colombia': 10, 'Costa Rica': 2, 'Spain': 2, 'Gabon': 2, 'Panama': 6, 'Peru': 6, 'El Salvador': 72, 'Uruguay': 20, 'Zambia': 2, 'America': 6}"
"Maccabi Haifa F.C.","{'Austria': 6, 'Bulgaria': 4, 'Brazil': 2, 'Cyprus': 2, 'Czechia': 1, 'Greece': 2, 'Croatia': 2, 'Hungary': 9, 'Israel': 441, 'Italy': 2, 'Kazakhstan': 2, 'Lithuania': 2, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 6, 'Oman': 2, 'Serbia': 4, 'Slovakia': 2, 'Sweden': 2, 'Ukraine': 3, 'England': 6, 'Scotland': 3, 'Yugoslavia': 3}"
"Racing Club de France football Colombes 92","{'Austria': 2, 'Germany': 2, 'Algeria': 4, 'France': 148, 'Hungary': 3, 'Iceland': 2, 'Jersey': 3, 'Jordan': 4, 'Morocco': 6, 'Netherlands': 2, 'Uruguay': 2, 'Yugoslavia': 3, 'Turkey': 6}"
"{{Interlanguage link","{}"
"Gamma FC","{'Hungary': 27}"
"Deportivo La Coruña","{'Argentina': 12, 'Bulgaria': 4, 'Bosnia and Herzegovina': 2, 'Brazil': 22, 'Canada': 3, 'Switzerland': 2, 'Chile': 2, 'Cameroon': 2, 'Colombia': 4, 'Costa Rica': 2, 'Czechia': 1, 'Spain': 142, 'Guinea': 2, 'Equatorial Guinea': 2, 'Croatia': 2, 'Iran, Islamic Republic of': 2, 'Israel': 2, 'Japan': 3, 'Morocco': 10, 'Monaco': 10, 'Mexico': 4, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 8, 'Norway': 2, 'New Zealand': 3, 'Oman': 2, 'Poland': 4, 'Portugal': 18, 'Paraguay': 4, 'Romania': 3, 'Serbia': 2, 'Sweden': 2, 'Tunisia': 2, 'Uruguay': 10, 'England': 3, 'America': 3, 'Yugoslavia': 9, 'Turkey': 3}"
"C.D. Aves","{'Portugal': 42}"
"Jedlersdorf","{}"
"Ontario Fury (indoor)","{}"
"Wuppertaler SV Borussia","{'Austria': 6, 'Germany': 28, 'Ecuador': 2, 'Iran, Islamic Republic of': 3, 'Italy': 2, 'Oman': 2}"
"Finspångs AIK","{'Sweden': 10}"
"US Créteil-Lusitanos","{'Bosnia and Herzegovina': 2, 'Germany': 2, 'Algeria': 2, 'Spain': 2, 'France': 98, 'Oman': 2, 'Portugal': 4, 'Uruguay': 2}"
"FC Hradec Králové","{'Austria': 2, 'Czechia': 5, 'Hungary': 3, 'Slovakia': 4}"
"Ismaily SC","{'Argentina': 4, 'Belgium': 2, 'Bosnia and Herzegovina': 2, 'Brazil': 18, 'Congo': 6, 'Czechia': 1, 'Germany': 8, 'Algeria': 2, 'Egypt': 220, 'France': 6, 'Ghana': 2, 'Kenya': 2, 'Kuwait': 2, 'Libya': 3, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 4, 'Portugal': 2, 'Rwanda': 2, 'Sudan': 2, 'Serbia': 6, 'Tunisia': 2, 'Turkey': 3}"
"VfR Kaiserslautern","{'Germany': 16}"
"Viktoria Aschaffenburg","{'Germany': 26}"
"Neftçi PFK","{'Albania': 2, 'Armenia': 2, 'Austria': 2, 'Azerbaijan': 344, 'Belgium': 4, 'Bulgaria': 2, 'Bosnia and Herzegovina': 2, 'Cyprus': 2, 'Georgia': 6, 'Croatia': 2, 'Iceland': 4, 'Israel': 2, 'Italy': 2, 'Lithuania': 2, 'Mali': 2, 'Oman': 4, 'Poland': 2, 'Romania': 3, 'Serbia': 4, 'Slovakia': 2, 'Slovenia': 6, 'United States': 2, 'Yugoslavia': 3, 'Turkey': 3}"
"Club Almagro","{'Argentina': 76, 'Oman': 2}"
"Hapoel Tel Aviv F.C.","{'Cyprus': 2, 'Ghana': 2, 'Hungary': 3, 'Iran, Islamic Republic of': 2, 'Israel': 333, 'Scotland': 15, 'America': 3}"
"FC Dynamo Moscow","{'Argentina': 2, 'Armenia': 2, 'Australia': 3, 'Austria': 10, 'Azerbaijan': 8, 'Burkina Faso': 3, 'Bulgaria': 4, 'Bosnia and Herzegovina': 4, 'Belarus': 20, 'Brazil': 8, 'Cameroon': 10, 'Congo': 2, 'Colombia': 2, 'Czechia': 5, 'Germany': 12, 'Ecuador': 2, 'Finland': 4, 'France': 4, 'United Kingdom': 8, 'Georgia': 12, 'Ghana': 2, 'Guinea': 2, 'Greece': 2, 'Croatia': 6, 'Hungary': 3, 'Israel': 2, 'Italy': 2, 'Kazakhstan': 4, 'Lithuania': 20, 'Latvia': 2, 'Moldova, Republic of': 2, 'Mexico': 2, 'Mali': 2, 'Montenegro': 18, 'Niger': 6, 'Nigeria': 6, 'Netherlands': 2, 'Norway': 2, 'Oman': 44, 'Peru': 2, 'Poland': 4, 'Portugal': 12, 'Paraguay': 2, 'Qatar': 2, 'Romania': 15, 'Senegal': 2, 'Serbia': 4, 'Slovakia': 8, 'Sweden': 4, 'Ukraine': 30, 'Uruguay': 6, 'Scotland': 3, 'America': 3, 'Yugoslavia': 3}"
"Werribee City FC","{'Australia': 24}"
"Villa Dálmine","{'Argentina': 4, 'Netherlands': 6, 'Peru': 2}"
"Al Wasl F.C.","{'United Arab Emirates': 24, 'Canada': 6, 'Honduras': 2, 'Iran, Islamic Republic of': 3, 'Italy': 2, 'Japan': 3}"
"AC Torino","{'Aruba': 3, 'Argentina': 2, 'Austria': 2, 'Brazil': 2, 'Switzerland': 4, 'France': 16, 'Hungary': 6, 'Ireland': 3, 'Italy': 72, 'Jersey': 3, 'Liechtenstein': 4, 'Netherlands': 2, 'Oman': 6, 'Peru': 10, 'America': 6}"
"Sociedade Esportiva do Gama","{'Brazil': 26, 'India': 2, 'America': 3}"
"Sporting de Gijón","{'Belgium': 4, 'Spain': 32, 'Italy': 2, 'Jersey': 6, 'Portugal': 2}"
"Accra Hearts of Oak SC","{'Germany': 2, 'Ghana': 270, 'Israel': 2, 'Japan': 3, 'Oman': 2, 'Portugal': 2, 'Romania': 3, 'Serbia': 14, 'Scotland': 3}"
"Club Atlético Colón","{'Argentina': 100, 'Chile': 4, 'Paraguay': 2, 'Uruguay': 6, 'America': 27}"
"Monarcas Morelia","{'Argentina': 28, 'Brazil': 4, 'Chile': 6, 'Germany': 2, 'Hungary': 3, 'Israel': 2, 'Mexico': 82, 'Malta': 2, 'Oman': 4, 'Peru': 2, 'Uruguay': 8, 'Venezuela, Bolivarian Republic of': 1, 'England': 9, 'America': 30}"
"S.D. Aucas","{'Colombia': 2, 'Ecuador': 46, 'Iran, Islamic Republic of': 1, 'Chad': 2, 'Venezuela, Bolivarian Republic of': 1, 'America': 21}"
"SV Ried","{'Austria': 116, 'Belgium': 2, 'Bosnia and Herzegovina': 4, 'Germany': 2, 'Denmark': 2, 'Georgia': 15, 'Greece': 2, 'Croatia': 2, 'Iceland': 2, 'Moldova, Republic of': 1, 'Mali': 2, 'Malta': 2, 'Oman': 2, 'Poland': 4, 'Wales': 3}"
"NK Varaždin (1931-2015)","{'Croatia': 194, 'India': 10, 'Iran, Islamic Republic of': 3, 'Luxembourg': 2, 'Mali': 2, 'Serbia': 2, 'Slovenia': 4, 'Yugoslavia': 21}"
"Fluminense Football Club","{'United Arab Emirates': 3, 'Argentina': 8, 'Austria': 8, 'Bolivia, Plurinational State of': 1, 'Brazil': 598, 'Switzerland': 4, 'Colombia': 8, 'Germany': 2, 'Denmark': 2, 'France': 2, 'Hungary': 3, 'India': 2, 'Iran, Islamic Republic of': 1, 'Italy': 2, 'Mexico': 2, 'Montenegro': 12, 'Peru': 4, 'Portugal': 4, 'Paraguay': 6, 'Chad': 16, 'Uruguay': 26, 'England': 15, 'America': 60, 'Yugoslavia': 3}"
"OFK Beograd","{'Armenia': 2, 'Australia': 3, 'Austria': 2, 'Azerbaijan': 2, 'Bulgaria': 2, 'Bosnia and Herzegovina': 2, 'Belarus': 4, 'Cameroon': 2, 'Cyprus': 2, 'Spain': 4, 'Estonia': 4, 'France': 4, 'Croatia': 8, 'Hungary': 3, 'Kazakhstan': 2, 'Lithuania': 2, 'Latvia': 2, 'North Macedonia': 2, 'Malta': 2, 'Montenegro': 12, 'Oman': 12, 'Romania': 3, 'Serbia': 97, 'Slovakia': 2, 'Uganda': 2, 'United States': 2, 'Yugoslavia': 126, 'Turkey': 6}"
"Chivas USA","{'Canada': 9, 'Switzerland': 2, 'Colombia': 4, 'Costa Rica': 6, 'Ecuador': 2, 'Honduras': 6, 'Jamaica': 3, 'Jersey': 12, 'Saint Kitts and Nevis': 3, 'Mexico': 26, 'Netherlands': 6, 'New Zealand': 9, 'El Salvador': 4, 'Chad': 2, 'United States': 8, 'Saint Vincent and the Grenadines': 3, 'Venezuela, Bolivarian Republic of': 2, 'South Africa': 2, 'England': 3, 'America': 45}"
"Znicz Pruszków","{'Poland': 12}"
"FC Laufen","{'Switzerland': 14}"
"Caledonian F.C.","{'Scotland': 27}"
"Prudentópolis Esporte Clube","{'Brazil': 6, 'America': 6}"
"Knokke FC","{}"
"All Boys","{'Argentina': 88, 'Colombia': 2, 'Iran, Islamic Republic of': 1, 'Uruguay': 2}"
"Valencia CF Mestalla","{'Spain': 10, 'Iran, Islamic Republic of': 1, 'Singapore': 10, 'England': 3}"
"São Paulo Futebol Clube","{'Argentina': 10, 'Brazil': 170, 'Chile': 2, 'Colombia': 2, 'Ecuador': 2, 'Hong Kong': 2, 'Iran, Islamic Republic of': 8, 'Jersey': 3, 'Japan': 3, 'Mexico': 6, 'Oman': 10, 'Peru': 4, 'Portugal': 2, 'Romania': 6, 'Saudi Arabia': 2, 'Uruguay': 10, 'America': 150}"
"Saba Battery Club","{'Iran, Islamic Republic of': 5}"
"AC Fiorentina","{'Argentina': 6, 'Austria': 4, 'Brazil': 6, 'Chile': 6, 'Spain': 2, 'France': 10, 'Hungary': 27, 'Italy': 192, 'Jersey': 3, 'Morocco': 2, 'Peru': 4, 'Portugal': 2, 'Serbia': 2, 'Sweden': 4, 'Uruguay': 2, 'America': 3, 'Turkey': 3}"
"Pawtucket F.C.","{'Georgia': 9, 'India': 4, 'Jersey': 6, 'Mexico': 8, 'United States': 69, 'England': 12, 'America': 72}"
"Canto do Rio Foot-Ball Club","{'Brazil': 16, 'America': 3}"
"Akhisar Belediyespor","{'Greece': 2, 'Jersey': 3, 'Turkey': 6}"
"Barnsley F.C.","{'Argentina': 2, 'Austria': 4, 'Brazil': 8, 'Germany': 4, 'Denmark': 2, 'France': 2, 'United Kingdom': 2, 'India': 2, 'Ireland': 39, 'Iceland': 2, 'Jamaica': 3, 'Jordan': 4, 'Netherlands': 2, 'Oman': 2, 'Poland': 2, 'Portugal': 2, 'Sweden': 2, 'England': 243, 'Scotland': 42, 'Wales': 9, 'Northern Ireland': 21}"
"Calcio Chieti","{'Italy': 8}"
"FC Dallas","{'Brazil': 2, 'Colombia': 8, 'Spain': 2, 'Guatemala': 8, 'Indonesia': 2, 'Ireland': 12, 'Jersey': 57, 'Mexico': 6, 'Mali': 2, 'El Salvador': 2, 'United States': 16, 'England': 3, 'Northern Ireland': 12, 'America': 24}"
"A.C. Perugia","{'Belgium': 2, 'Germany': 6, 'Finland': 2, 'France': 10, 'Greece': 4, 'Italy': 22, 'Japan': 6, 'Korea, Republic of': 3, 'Libya': 3, 'Netherlands': 2, 'Oman': 2, 'Peru': 322, 'Scotland': 3, 'Yugoslavia': 3, 'South Korea': 9, 'Turkey': 3}"
"K.S.C. Lokeren Oost-Vlaanderen","{'Albania': 2, 'Belgium': 76, 'Burkina Faso': 3, 'Switzerland': 2, 'Czechia': 1, 'Germany': 4, 'Spain': 4, 'Estonia': 2, 'France': 4, 'Faroe Islands': 3, 'Georgia': 9, 'Guinea': 2, 'Greece': 2, 'Hungary': 3, 'Iran, Islamic Republic of': 2, 'Iceland': 4, 'Luxembourg': 2, 'Morocco': 2, 'Niger': 6, 'Nigeria': 6, 'Netherlands': 6, 'Norway': 2, 'Poland': 6, 'Portugal': 2, 'Serbia': 6, 'Slovakia': 6, 'Syrian Arab Republic': 1, 'Togo': 2, 'South Africa': 2, 'Zimbabwe': 2, 'England': 9, 'Scotland': 3}"
"Blau-Weiß 1890 Berlin","{'Germany': 10}"
"FC Nancy","{'France': 18}"
"Julius Berger F.C.","{'Niger': 28, 'Nigeria': 28}"
"Maccabi Netanya","{'Austria': 2, 'Bosnia and Herzegovina': 2, 'Germany': 4, 'Iran, Islamic Republic of': 1, 'Israel': 233, 'Netherlands': 2, 'Sweden': 2, 'Yugoslavia': 3, 'Turkey': 3}"
"Zafririm Holon","{'Iran, Islamic Republic of': 1, 'Israel': 42}"
"1. FC Nürnberg II","{'Germany': 4}"
"Al-Shabab Riyadh","{'United Arab Emirates': 3, 'Argentina': 14, 'Belgium': 4, 'Bahrain': 2, 'Brazil': 30, 'China': 2, 'Germany': 2, 'Egypt': 2, 'Spain': 6, 'France': 2, 'Croatia': 2, 'Indonesia': 2, 'India': 2, 'Iran, Islamic Republic of': 3, 'Iraq': 2, 'Jordan': 2, 'Japan': 3, 'Korea, Republic of': 1, 'Kuwait': 6, 'Lebanon': 2, 'Netherlands': 2, 'Oman': 4, 'Portugal': 10, 'Qatar': 2, 'Romania': 6, 'Saudi Arabia': 36, 'Syrian Arab Republic': 2, 'Tunisia': 6, 'Uruguay': 6, 'Uzbekistan': 2, 'South Korea': 3}"
"Queens Park Rangers F.C.","{'Argentina': 2, 'Australia': 6, 'Brazil': 2, 'Spain': 8, 'United Kingdom': 4, 'Grenada': 3, 'India': 6, 'Ireland': 24, 'Jamaica': 9, 'Jordan': 2, 'Monaco': 2, 'Malaysia': 21, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 8, 'Norway': 2, 'Portugal': 2, 'Sierra Leone': 2, 'United States': 4, 'Virgin Islands, British': 1, 'England': 210, 'Scotland': 3, 'Wales': 3, 'Northern Ireland': 12}"
"SD Erandio Club","{'Spain': 10}"
"Adanaspor","{'Jersey': 3, 'Jordan': 2, 'Mali': 2, 'Turkey': 9}"
"FC Vorskla Poltava","{'Azerbaijan': 4, 'Jersey': 3, 'Latvia': 4, 'Oman': 4, 'Ukraine': 135}"
"Gimnasia y Esgrima de La Plata","{'Argentina': 54, 'Brazil': 2, 'Chile': 2, 'Iran, Islamic Republic of': 1, 'Jersey': 6, 'Oman': 8, 'Peru': 2, 'Portugal': 2, 'Uruguay': 12, 'America': 12}"
"BV Veendam","{'Belgium': 2, 'Netherlands': 54}"
"Chelsea F.C.","{'Brazil': 4, 'Canada': 6, 'France': 2, 'United Kingdom': 14, 'India': 6, 'Japan': 3, 'Montenegro': 3, 'Malaysia': 12, 'Oman': 94, 'Ukraine': 36, 'England': 120, 'Wales': 6, 'America': 12}"
"Centro de Futebol Zico Sociedade Esportiva","{'Brazil': 120, 'Guinea': 2, 'Equatorial Guinea': 2, 'Iran, Islamic Republic of': 3, 'Japan': 12, 'Lebanon': 2}"
"Lausanne Sports","{'Switzerland': 10, 'France': 4}"
"Bonsucesso Futebol Clube","{'Brazil': 12, 'China': 2, 'Jersey': 3, 'America': 3}"
"Eintracht Wels","{}"
"Club Atlético River Plate","{'Argentina': 194, 'Australia': 6, 'Brazil': 2, 'Canada': 3, 'Chile': 2, 'Colombia': 2, 'Germany': 2, 'Ecuador': 2, 'Spain': 6, 'France': 6, 'Israel': 2, 'Italy': 4, 'Jersey': 42, 'Japan': 6, 'Mexico': 2, 'New Zealand': 3, 'Portugal': 2, 'Paraguay': 2, 'Chad': 2, 'Uruguay': 2, 'United States': 4, 'England': 3, 'America': 171}"
"FC Lokomotiv Moscow","{'Albania': 2, 'Armenia': 12, 'Azerbaijan': 2, 'Bosnia and Herzegovina': 6, 'Belarus': 24, 'Brazil': 2, 'Switzerland': 4, 'Cameroon': 2, 'Congo': 2, 'Costa Rica': 2, 'Czechia': 2, 'Germany': 6, 'Ecuador': 2, 'Estonia': 2, 'Finland': 2, 'France': 6, 'Georgia': 30, 'Ghana': 6, 'Guinea': 2, 'Croatia': 14, 'Iran, Islamic Republic of': 9, 'Italy': 4, 'Kazakhstan': 4, 'Kyrgyzstan': 2, 'Lithuania': 12, 'Morocco': 4, 'Monaco': 4, 'Moldova, Republic of': 1, 'Mali': 2, 'Montenegro': 18, 'Malawi': 2, 'Niger': 14, 'Nigeria': 14, 'Oman': 8, 'Peru': 4, 'Poland': 4, 'Portugal': 14, 'Romania': 3, 'Russian Federation': 3, 'Senegal': 10, 'Serbia': 22, 'Slovakia': 4, 'Slovenia': 2, 'Tajikistan': 24, 'Tunisia': 2, 'Ukraine': 18, 'Uzbekistan': 24, 'South Africa': 4, 'Scotland': 3, 'America': 6}"
"Tractor S.C.","{'Armenia': 10, 'Azerbaijan': 38, 'Brazil': 18, 'Cameroon': 2, 'India': 18, 'Iran, Islamic Republic of': 132, 'Iraq': 2, 'Israel': 2, 'Oman': 2, 'Portugal': 12, 'Romania': 3, 'Slovakia': 2, 'Syrian Arab Republic': 2, 'Wales': 3, 'Yugoslavia': 3, 'Turkey': 15}"
"Heidelberg SC","{}"
"Al-Shahania SC","{'France': 2, 'Qatar': 36}"
"Hull City A.F.C.","{'Brazil': 4, 'Denmark': 2, 'Egypt': 2, 'United Kingdom': 6, 'Croatia': 2, 'Ireland': 27, 'Jamaica': 3, 'Jersey': 3, 'Portugal': 2, 'Slovakia': 2, 'Slovenia': 2, 'Chad': 2, 'United States': 2, 'England': 156, 'Scotland': 15, 'Wales': 3, 'Northern Ireland': 18, 'America': 6}"
"PFC Septemvri Sofia","{'Bulgaria': 418, 'Czechia': 1, 'Germany': 10, 'Spain': 2, 'France': 6, 'Ghana': 4, 'Italy': 4, 'Mali': 2, 'Serbia': 6, 'South Africa': 2, 'England': 3}"
"SV Sandhausen","{'China': 2, 'Germany': 8}"
"Botafogo de Futebol e Regatas","{'Angola': 2, 'Argentina': 4, 'Brazil': 406, 'Ecuador': 2, 'Iran, Islamic Republic of': 3, 'Italy': 2, 'Jersey': 9, 'Nicaragua': 2, 'Portugal': 4, 'Paraguay': 6, 'Uruguay': 12, 'United States': 2, 'Venezuela, Bolivarian Republic of': 1, 'America': 24}"
"Umm Salal SC","{'Mali': 10, 'Qatar': 108}"
"Olbia Calcio","{'France': 2, 'Italy': 8, 'Oman': 2}"
"Everton F.C.","{'Argentina': 4, 'Australia': 9, 'Austria': 2, 'Belgium': 2, 'Brazil': 2, 'Chile': 22, 'Cyprus': 4, 'Spain': 4, 'France': 2, 'United Kingdom': 4, 'Indonesia': 2, 'India': 2, 'Ireland': 30, 'Iran, Islamic Republic of': 3, 'Iceland': 2, 'Jersey': 6, 'Jordan': 8, 'Lebanon': 2, 'Malaysia': 15, 'Netherlands': 2, 'New Zealand': 3, 'Singapore': 6, 'Thailand': 4, 'Trinidad and Tobago': 8, 'Uruguay': 4, 'South Africa': 2, 'England': 186, 'Scotland': 15, 'Wales': 36, 'Northern Ireland': 3, 'America': 12}"
"FC Irpin Horenychi","{'Ukraine': 15}"
"Club de Gimnasia y Esgrima La Plata","{'Argentina': 54, 'Brazil': 2, 'Chile': 2, 'Iran, Islamic Republic of': 1, 'Jersey': 6, 'Oman': 8, 'Peru': 2, 'Portugal': 2, 'Uruguay': 12, 'America': 12}"
"FC Mariupol","{'Austria': 4, 'Brazil': 6, 'Jersey': 3, 'Mali': 6, 'Pakistan': 8, 'Ukraine': 120}"
"Bendel Insurance F.C.","{'Benin': 12, 'Niger': 76, 'Nigeria': 76}"
"Comercial Futebol Clube (Ribeirão Preto)","{'Brazil': 18, 'America': 3}"
"Slavia Prague","{'Austria': 4, 'China': 12, 'Czechia': 8, 'Hungary': 6, 'Mali': 2, 'Slovakia': 10, 'Scotland': 3}"
"Shahin Bushehr F.C.","{'Iran, Islamic Republic of': 52, 'Mali': 2}"
"Club de Deportes Antofagasta","{'Chile': 52, 'Croatia': 2, 'Iran, Islamic Republic of': 1, 'Paraguay': 2, 'Venezuela, Bolivarian Republic of': 1, 'America': 15}"
