"Erich Probst","['years1 =   \n| youthclubs1 =   \n|  years1 =   1945–1949 \n| years2 =  1950 \n| years3 =  1950–1956 \n| years4 =  1956–1958 \n| years5 =  1958–1959 \n| years6 =  1959–1960 \n| years7 =  1960–1962 \n| years8 =  1962–1963\n| clubs1 =  [[SK Admira Wien|Admira Wien]] \n| clubs2 =  [[First Vienna]] \n| clubs3 =  [[SK Rapid Wien|Rapid Wien]] \n| clubs4 =  [[Wuppertaler SV]] \n| clubs5 =  [[FC Zürich]] \n| clubs6 =  [[Austria Salzburg]] \n| clubs7 =  [[Salzburger AK 1914|ASK Salzburg]] \n| clubs8 =  [[First Vienna FC|First Vienna]]\n| caps1 =  81   \n| caps2 =  3 \n| caps3 =  112  \n| caps4 =  50  \n| caps5 =  11  \n| caps6 =  9  \n| caps7 =  39\n| caps8 =  5\n| goals1 =  89\n| goals2 =  3\n| goals3 =  107 \n| goals4 =  43\n| goals5 =  6\n| goals6 =  8\n| goals7 =  37\n| goals8 =  6\n| totalcaps = 310 | totalgoals = 299\n| ']"
"Khalid Ismaïl","['years1 =           \n| youthclubs1 =           \n| years1 =                \n| clubs1 =                \n| caps1 =            \n| goals1 = \n| ']"
"Park Chang-sun","['years1    =\n|youthclubs1    = Donga High School<ref>{{cite news |url=https://news.joins.com/article/1446130 |script-title=ko:박창선 |publisher=[[JoongAng Ilbo]] |language=ko |date=15 September 1976 |access-date=27 December 2020}}</ref>\n|collegeyears1  = 1973–1976\n|college1       = [[Kyung Hee University]]\n|collegecaps1   =\n|collegegoals1  =\n|years1         = 1977–1982\n|clubs1         = [[Pohang Steelers|POSCO FC]]\n|caps1          = \n|goals1         = \n|years2         = 1978–1980\n|clubs2         = → [[Republic of Korea Army|ROK Army]] ([[Conscription in South Korea|draft]])\n|caps2          = \n|goals2         = \n|years3         = 1983\n|clubs3         = [[Hallelujah FC]]\n|caps3          = 15\n|goals3         = 3\n|years4         = 1984–1986\n|clubs4         = [[Daewoo Royals]]\n|caps4          = 43\n|goals4         = 6\n|years5         = 1987\n|clubs5         = [[Jeju United FC|Yukong Elephants]]\n|caps5          = 13\n|goals5         = 2\n|totalcaps      = 71\n|totalgoals     = 11\n|']"
"Timothy Weah","['years1    = {{0|0000}}–2010\n|youthclubs1    = West Pines United\n|youthyears2    = 2010–2013\n|youthclubs2    = Blau-Weiss Gottschee\n|youthyears3    = 2013–2014\n|youthclubs3    = [[New York Red Bulls]]\n|youthyears4    = 2014–2017\n|youthclubs4    = [[Paris Saint-Germain Academy|Paris Saint-Germain]]\n|years1         = 2017–2018\n|clubs1         = [[Paris Saint-Germain Academy|Paris Saint-Germain B]]\n|caps1          = 15\n|goals1         = 4\n|years2         = 2018–2019\n|clubs2         = [[Paris Saint-Germain F.C.|Paris Saint-Germain]]\n|caps2          = 5\n|goals2         = 1\n|years3         = 2019\n|clubs3         = → [[Celtic F.C.|Celtic]] (loan)\n|caps3          = 13\n|goals3         = 3\n|years4         = 2019–2023\n|clubs4         = [[Lille OSC|Lille]]\n|caps4          = 89\n|goals4         = 6\n|years5         = 2023–\n|clubs5         = [[Juventus FC|Juventus]]\n|caps5          = 25\n|goals5         = 0<!-- league stats only - no Cup games -->\n|']"
"Billy Hamilton","[]"
"Luis Flores","[]"
"Juan Hohberg","['years1 = \n | youthclubs1 = \n |  years1 = 1946  \n| years2 = 1947–1948  \n| years3 = 1949–1959  \n| years4 = 1960  \n| years5 = 1961  \n| years6 = 1946–1961 \n |  clubs1 = [[Club Atlético Central Córdoba|Central Córdoba]]  \n| clubs2 = [[Rosario Central]]  \n| clubs3 = [[C.A. Peñarol|Peñarol]]  \n| clubs4 = [[Racing Club de Montevideo|Racing Montevideo]]  \n| clubs5 = [[Corporación Nuevo Cúcuta Deportivo|Cúcuta Deportivo]]  \n| clubs6 = Total\n | caps1 = 7     \n| caps2 = 51    \n| caps3 = 130    \n| caps4 = 6     \n| caps5 = 37    \n| caps6 = 239  \n| goals1 = 2  \n| goals2 = 31  \n| goals3 = 95  \n| goals4 = 3  \n| goals5 = 19  \n| goals6 = 153 \n| totalcaps = 470 \n| totalgoals = 303\n | ']"
"Richard Herrmann","['years1 =\n|          youthclubs1 =\n|               years1 = 1934–1945\n|               clubs1 = [[1. FC Kattowitz]]\n|                caps1 =\n|               goals1 =\n|               years2 = 1947–1960\n|               clubs2 = [[FSV Frankfurt]]\n|                caps2 =\n|               goals2 =\n|            totalcaps =\n|           totalgoals =\n|       ']"
"Julius Aghahowa","['years1    =\n|youthyears2    =\n|youthclubs1    = Police Machines\n|youthclubs2    = [[Bendel Insurance F.C.|Bendel Insurance]]\n|years1         = 1998–1999\n|clubs1         = [[Bendel Insurance F.C.|Bendel Insurance]]\n|years2         = 1999–2000\n|clubs2         = [[Espérance Sportive de Tunis|Espérance]]\n|years3         = 2000–2007\n|clubs3         = [[FC Shakhtar Donetsk|Shakhtar Donetsk]]\n|caps3          = 89\n|goals3         = 32\n|years4         = 2001\n|clubs4         = → [[FC Shakhtar-2 Donetsk|Shakhtar-2 Donetsk]]\n|caps4          = 3\n|goals4         = 0\n|years5         = 2007–2008\n|clubs5         = [[Wigan Athletic F.C.|Wigan Athletic]]\n|caps5          = 20\n|goals5         = 0\n|years6         = 2008–2009\n|clubs6         = [[Kayserispor]]\n|caps6          = 29\n|goals6         = 6\n|years7         = 2009–2012\n|clubs7         = [[FC Shakhtar Donetsk|Shakhtar Donetsk]]\n|caps7          = 10\n|goals7         = 1\n|years8         = 2010–2011\n|clubs8         = → [[PFC Sevastopol|Sevastopol]] (loan)\n|caps8          = 10\n|goals8         = 1\n|totalcaps      = 161\n|totalgoals     = 40\n|']"
"Julio Pérez","[]"
"Luis Vargas Peña","['years1=|clubs1=|caps1=|goals1=\n|totalcaps=|totalgoals=\n|']"
"Josef Zeman","[]"
"Jimmy Murray","[]"
"Theo de Jong","['years1=\n|youthclubs1=\n| years1 = 1966–1970 | years2 = 1971–1972 | years3 = 1972–1977 | years4 = 1977–1981 | years5 = 1981–1983 | years6 =1983–1984\n| clubs1 = [[Blauw-Wit Amsterdam|Blauw Wit]] | clubs2 = [[NEC Nijmegen]] | clubs3 = [[Feyenoord Rotterdam]] | clubs4 = [[Roda JC]] | clubs5 = [[Seiko (football)|Seiko]] | clubs6 =[[F. C. Den Bosch]]\n| caps1 =  | goals1 =  | caps2 = 57 | goals2 = 17 | caps3 = 163 | goals3 = 61 | caps4 = 125 | goals4 = 44 | caps5 = 54 | goals5 = 15 | caps6 = 28 | goals6 = 4\n|']"
"José Velásquez","[]"
"Ali Kaabi","['years1=1970–1987|clubs1=[[Al Hilal SFC]]|caps1=250|goals1=38\n|totalcaps=|totalgoals=\n|']"
"Josimar","[]"
"Aleksandr Ivanov","[]"
"Henri Isemborghs","['years1 = |clubs1 = |caps1 = |goals1 = \n|totalcaps = |totalgoals = \n|']"
"Ludovico Avio","['years1         = | clubs1 = [[Club Atlético Vélez Sársfield]]| caps1 = |goals1 = \n| ']"
"Andrés Prieto","[]"
"Jorge Lino Romero","['years1         = 1950–1955 | clubs1 = [[Sportivo Luqueño]]| caps1 = |goals1 = \n| years2         = 1956 | clubs2 = [[Club Libertad|Libertad]]| caps2 = |goals2 = \n| years3         = 1956–1958 | clubs3 = [[Club Sol de América|Sol de América]]| caps3 = |goals3 = \n| years4         = 1958–1961 | clubs4 = [[Real Oviedo]]| caps4 = 29 |goals4 = 8\n| ']"
"Juan Quintero","[]"
"Bobby Collins","[]"
"Johann Horvath","['years1 =   \n| youthclubs1 =   \n|  years1 =   1920–1927 \n| years2 =  1927–1930 \n| years3 =  1930–1933 \n| years4 =  1933–1935 \n| years5 =  1935–1940\n|  clubs1 =   [[1. Simmeringer SC]] \n| clubs2 =  [[SK Rapid Wien]] \n| clubs3 =  [[SC Wacker Wien]] \n| clubs4 =  [[FC Wien]] \n| clubs5 =  [[1. Simmeringer SC]]\n| caps1 = 117\n| goals1 =  51\n| caps2 =  44  \n| goals2 =  24 \n| caps3 =  51\n| goals3 =  11\n| caps4 =  27  \n| goals4 =  12\n| caps5 =    \n| goals5 =  \n| totalcaps = 239\n| totalgoals = 98<ref>http://www.austriasoccer.at/menu/meisterschaft1.html</ref>\n| ']"
"Maryan Wisnieski","['years1 = \n| youthclubs1 = US Auchel\n| years1 = 1953–1963\n| clubs1 = [[RC Lens|Lens]]\n| caps1 = 277\n| goals1 = 93\n| years2 = 1963–1964\n| clubs2 = [[U.C. Sampdoria|Sampdoria]]\n| caps2 = 21\n| goals2 = 4\n| years3 = 1964–1966\n| clubs3 = [[AS Saint-Étienne|Saint-Étienne]]\n| caps3 = 46\n| goals3 = 12\n| years4 = 1966–1969\n| clubs4 = [[FC Sochaux-Montbéliard|Sochaux]]\n| caps4 = 86\n| goals4 = 8\n| years5 = 1969–1970\n| clubs5 = [[Grenoble Foot 38|Grenoble]]\n| caps5 = 27\n| goals5 = 4\n| totalcaps = 457\n| totalgoals = 121\n| ']"
"John Robertson","[]"
"Ismaila Sarr","[]"
"Jaime Ramírez","[]"
"Kevin Sheedy","[]"
"Sune Andersson","[]"
"Henri Coppens","['years1         = 1946–1961\n|clubs1         = [[K. Beerschot V.A.C.]]\n|caps1          = 389\n|goals1         = 261\n|years2         = 1961–1962\n|clubs2         = [[Olympique Charleroi]]\n|caps2          = 27\n|goals2         = 3\n|years3         = 1962–1967\n|clubs3         = [[Royal Crossing Club Molenbeek]]\n|caps3          = 121\n|goals3         = 32\n|years4         = 1967–1969\n|clubs4         = [[Berchem Sport]]\n|caps4          = 45\n|goals4         = 8\n|years5         = 1969–1970\n|clubs5         = [[Tubantia Borgerhout VK]]\n|totalcaps      = 555\n|totalgoals     = 301<ref>[http://users.skynet.be/fb304341/ Belgiumsoccerhistory (Peter Mariën)]. Retrieved 21 March 2018.</ref>\n|']"
"Zito","[]"
"Ritsu Doan","['years1 = 2011–2015\n| youthclubs1 = [[Gamba Osaka]]\n| years1 = 2015–2018\n| clubs1 = [[Gamba Osaka]]\n| caps1 = 15\n| goals1 = 3\n| years2 = 2017–2018\n| clubs2 = → [[FC Groningen|Groningen]] (loan)\n| caps2 = 29\n| goals2 = 9\n| years3 = 2018–2019\n| clubs3 = [[FC Groningen|Groningen]]\n| caps3 = 34\n| goals3 = 6\n| years4 = 2019–2022\n| clubs4 = [[PSV Eindhoven|PSV]]\n| caps4 = 43\n| goals4 = 10\n| years5 = 2020–2021\n| clubs5 = → [[Arminia Bielefeld]] (loan)\n| caps5 = 34\n| goals5 = 5\n| years6 = 2022–\n| clubs6 = [[SC Freiburg]]\n| caps6 = 56\n| goals6 = 9\n| ']"
"Luis Regueiro","['years1       = 1924–1931\n|clubs1         = [[Real Unión]]\n|caps1      = 53+\n|goals1        = 36+<ref>{{cite web|title=Regueiro: Luis Regueiro Pagola|url=http://www.bdfutbol.com/en/j/j11373.html|website=BDfutbol|access-date=10 August 2017}}</ref>\n|years5        = 1931–1936\n|clubs5         = [[Real Madrid CF|Madrid FC]]\n|caps5        = 92\n|goals5         = 53\n|years6      = 1938–1939\n|clubs6        = [[C.D. Euzkadi]]\n|caps6     = 10\n|goals6        = \n|years8        = 1939–1940\n|clubs8         = \n|caps8     = 1\n|goals8         = 0\n|years9       = 1940–1942\n|clubs9         = [[Asturias F.C.]]\n|caps9      =\n|goals9         = \n|years10       = 1942–1944\n|clubs10        =[[Club América]]<ref name=Ameri>{{cite web|title=CF América|url=https://www.rsssf.org/tablesa/america.html|website=[[RSSSF]]|publisher=rsssf|access-date=27 March 2017}}</ref>|\n|caps10    = \n|goals10         =\n|']"
"Jiří Feureisl","['years1         = \n| clubs1         = [[1. FC Karlovy Vary|Dynamo Karlovy Vary]]\n| caps1          = \n| goals1         = \n| ']"
"Rubén Marcos","['years1      = 1962–1970\n|clubs1      = [[Club Universidad de Chile|Universidad de Chile]]\n|years2      = 1971\n|clubs2      = [[C.S. Emelec|Emelec]]\n|years3      = 1971–1974\n|clubs3      = [[Club Deportivo Palestino|Palestino]]\n|']"
"Renato Zaccarelli","['years1    = 1966–1968\n|youthclubs1    = [[Torino F.C.|Torino]]\n|years1         = 1968–1969\n|clubs1         = [[Calcio Catania|Catania]]\n|caps1          = 2\n|goals1         = 0\n|years2         = 1969–1970\n|clubs2         = [[Torino F.C.|Torino]]\n|caps2          = 0\n|goals2         = 0\n|years3         = 1971–1973\n|clubs3         = [[Novara Calcio|Novara]]\n|caps3          = 52\n|goals3         = 1\n|years4         = 1973–1974\n|clubs4         = [[Hellas Verona|Verona]]\n|caps4          = 30\n|goals4         = 5\n|years5         = 1974–1987\n|clubs5         = [[Torino F.C.|Torino]]\n|caps5          = 317\n|goals5         = 17\n| ']"
"Preguinho","['years1      = 1925–1938 |clubs1= [[Fluminense FC|Fluminense]]            |caps1= 174 |goals1= 129\n|']"
"Müller","[]"
"Ernst Stojaspal","['years1 =\n|  youthclubs1 =   FC Strindberg\n| youthclubs2 =  Mautner Markhof\n| youthclubs3 =  SC Simmering\n| youthclubs4 =  Ostbahn XI\n|  years1 =   1944–1954\n| years2 =  1954–1957\n| years3 =  1957–1958\n| years4 =  1958–1959\n| years5 =  1959–1961\n| years6 =  1961–1962\n|  clubs1 =   [[Austria Wien]]\n| clubs2 =  [[Racing Strasbourg|Strasbourg]]\n| clubs3 =  [[AS Béziers (football)|AS Béziers]]\n| clubs4 =  [[AS Monaco FC|Monaco]]\n| clubs5 =  [[Troyes AC|Troyes]]\n| clubs6 =  [[FC Metz|Metz]]\n| totalcaps = 368\n| caps1 =    184\n| caps2 =   95\n| caps3 =   23\n| caps4 =   23\n| caps5 =   24\n| caps6 =   19\n| goals1 =  220\n| goals2 =  57\n| goals3 =  5\n| goals4 =  10\n| goals5 =  3\n| goals6 =  6\n| totalgoals = 301\n| ']"
"Peter Møller","['years1 = {{0|0000}}–1980 | youthyears2 =1980–1990\n|youthclubs1 = [[LKB Gistrup]] | youthclubs2 =[[AaB Fodbold|Aalborg]]\n|years1 = 1990–1993 | years2 = 1993–1995 | years3 = 1994–1995 | years4 = 1995–1997 | years5 = 1997–1998 | years6 = 1998–2001 | years7 = 2000 | years8 = 2001 | years9 =2001–2005\n| clubs1 = [[AaB Fodbold|Aalborg]] | clubs2 = [[F.C. Copenhagen|Copenhagen]] | clubs3 = → [[FC Zürich|Zürich]] (loan) | clubs4 = [[Brøndby IF|Brøndby]] | clubs5 = [[PSV Eindhoven]] | clubs6 = [[Real Oviedo]] | clubs7 = → [[Brøndby IF|Brøndby]] (loan) | clubs8 = → [[Fulham F.C.|Fulham]] (loan) | clubs9 =[[F.C. Copenhagen|Copenhagen]]\n|caps1 = 81 | goals1 = 46 | caps2 = 30 | goals2 = 8 | caps3 = 26 | goals3 = 9 | caps4 = 69 | goals4 = 42 | caps5 = 22 | goals5 = 6 | caps6 = 38 | goals6 = 3 | caps7 = 7 | goals7 = 3 | caps8 = 5 | goals8 = 1 | caps9 = 124 | goals9 = 36\n|totalcaps = 402 | totalgoals = 154\n|']"
"Heinz Schneiter","['years1 =\n| clubs1 = [[BSC Young Boys]]\n| caps1 =\n| goals1 =\n| ']"
"Luis García Postigo","['years1 = 1985–1991\n| years2 = 1992–1994\n| years3 = 1994–1995\n| years4 = 1995–1997\n| years5 = 1997\n| years6 = 1998–2000\n| years7 = 2000\n| years8 = 2001\n| clubs1 = [[Club Universidad Nacional|UNAM]]\n| clubs2 = [[Atlético Madrid]]\n| clubs3 = [[Real Sociedad]]\n| clubs4 = [[Club América|América]]\n| clubs5 = [[Atlante F.C.|Atlante]]\n| clubs6 = [[C.D. Guadalajara|Guadalajara]]\n| clubs7 = [[Monarcas Morelia|Morelia]]\n| clubs8 = [[Club Puebla|Puebla]]\n| caps1 = 195\n| caps2 = 58\n| caps3 = 10\n| caps4 = 78\n| caps5 = 29\n| caps6 = 56\n| caps7 = 17\n| caps8 = 1\n| goals1 = 75\n| goals2 = 28\n| goals3 = 0\n| goals4 = 39\n| goals5 = 14\n| goals6 = 20\n| goals7 = 8\n| goals8 = 0\n| totalcaps       = 444\n| totalgoals      = 184\n| ']"
"Claudio López","[]"
"Ludo Coeck","['years1 =  \n| youthclubs1 =  \n|  years1 =   1971–1972 \n| years2 =  1972–1983 \n| years3 =  1983–1984 \n| years4 =  1984–1985 \n| years5 =  1985\n|  clubs1 =   [[Berchem Sport]] \n| clubs2 = [[R.S.C. Anderlecht]] \n| clubs3 = [[Inter Milan]] \n| clubs4 = → [[Ascoli Calcio]] (loan)\n| clubs5 = [[R.W.D. Molenbeek]]\n| caps1 =  7\n| caps2 =  292\n| caps3 =  9\n| caps4 =  0 \n| caps5 =  0\n| goals1 =  7\n| goals2 =  54\n| goals3 =  0 \n| goals4 =  0\n| goals5 =  0\n| totalcaps = 308 \n| totalgoals = 61\n| ']"
"Juan Bautista Agüero","['years1 = \n | youthclubs1 = \n |  years1 = 1955–1958 \n| years2 = 1958–1965 \n| years3 = 1965–1966 \n| years4 = 1966–1967\n |  clubs1 = [[Club Olimpia|Olimpia]]  \n| clubs2 = [[Sevilla FC]] \n| clubs3 = [[Real Madrid]] \n| clubs4 = [[Granada CF]]\n | caps1 = ?    \n| caps2 = 116  \n| caps3 = 5   \n| caps4 = 13   \n| goals1 = ?  \n| goals2 = 32  \n| goals3 = 1  \n| goals4 = 1 \n | ']"
"Amancio Amaro","['years1 = 1954–1958\n| youthclubs1 = [[Victoria CF|Victoria]]\n| years1 = 1958–1962\n| clubs1 = [[Deportivo La Coruña]]\n| caps1 = 92\n| goals1 = 54\n| years2 = 1962–1976\n| clubs2 = [[Real Madrid CF|Real Madrid]]\n| caps2 = 344\n| goals2 = 119\n| totalcaps = 436\n| totalgoals = 173\n| ']"
"Robbie Earle","['years1    = 1981–1982| youthclubs1 = [[Stoke City F.C.|Stoke City]]\n|years1         = 1982–1991| clubs1 = [[Port Vale F.C.|Port Vale]]| caps1 = 294| goals1 = 77\n|years2         = 1991–2000| clubs2 = [[Wimbledon F.C.|Wimbledon]]| caps2 = 284| goals2 = 59\n|totalcaps      = 578| totalgoals = 136\n|']"
"Theo Hernández","['years1 = 2006–2007\n| youthclubs1 = [[CF Rayo Majadahonda|Rayo Majadahonda]]<ref>{{cite news |url=https://real-sociedad.diariovasco.com/theohernandez-20181025003102-ntvo.html |title="Desde críos se veía que Lucas y Theo Hernández tenían condiciones"|trans-title=«One could see Lucas and Theo Hernández were skilled since when they were kids» |newspaper=[[El Diario Vasco]] |first=Axel |last=Guerra |language=es |date=25 October 2018|access-date=1 August 2020}}</ref>\n| youthyears2 = 2007–2015\n| youthclubs2 = [[Atlético Madrid]]\n| years1 = 2015–2017\n| clubs1 = [[Atlético Madrid B]]\n| caps1 = 9\n| goals1 = 0\n| years2 = 2016–2017\n| clubs2 = → [[Deportivo Alavés|Alavés]] (loan)\n| caps2 = 32\n| goals2 = 1\n| years3 = 2017–2019\n| clubs3 = [[Real Madrid CF|Real Madrid]]\n| caps3 = 13\n| goals3 = 0\n| years4 = 2018–2019\n| clubs4 = → [[Real Sociedad]] (loan)\n| caps4 = 24\n| goals4 = 1\n| years5 = 2019–\n| clubs5 = [[AC Milan]]\n| caps5 = 156\n| goals5 = 27\n| ']"
"Knut Kroon","['years1 = \n| clubs1 = [[Helsingborgs IF]]\n| caps1 = \n| goals1 = \n| totalcaps = \n| totalgoals = \n| ']"
"Júnior","['years1 = 1973–1974 | youthclubs1 = [[Clube de Regatas Flamengo|Flamengo]]\n| years1 = 1974–1984 | clubs1 = [[Clube de Regatas Flamengo|Flamengo]] | caps1 = 192 | goals1 = 7\n| years2 = 1984–1987 | clubs2 = [[Torino F.C.|Torino]] | caps2 = 86  | goals2 = 12\n| years3 = 1987–1989 | clubs3 = [[Delfino Pescara 1936|Pescara]] | caps3 = 62  | goals3 = 6\n| years4 = 1989–1993 | clubs4 = [[Clube de Regatas Flamengo|Flamengo]] | caps4 = 70 | goals4 = 10\n| totalcaps      = 410 | totalgoals = 35\n| ']"
"Oscar","[]"
"Paulinho","[]"
"Sergio Ahumada","["years1 =\n|youthclubs1 = [[Deportes La Serena]]\n|years1  = 1966      |clubs1  = [[Deportes La Serena]]               | caps1 =   9 | goals1 = 0\n|years2  = 1967      |clubs2  = [[San Antonio Unido]]\n|years3  = 1968–1969 |clubs3  = [[Deportes La Serena]]               | caps3 =  58 | goals3 = 14\n|years4  = 1970–1974 |clubs4  = [[Colo-Colo]]                        | caps4 = 107 | goals4 = 39\n|years5  = 1974–1975 |clubs5  = [[Unión Española]]                   | caps5 =  36 | goals5 = 19\n|years6  = 1975–1976 |clubs6  = [[Tecos F.C.|Tecos]] \n|years7  = 1976–1978 |clubs7  = [[Everton de Viña del Mar|Everton]]  | caps7 =  76 | goals7 = 31\n|years8  = 1979–1980 |clubs8  = [[O'Higgins F.C.|O'Higgins]]         | caps8 =  26 | goals8 =  4\n|years9  = 1980–1981 |clubs9  = [[Deportes La Serena]]\n|years10 = 1981      |clubs10 = [[Coquimbo Unido]]\n<!--stats in Chile at solofutbol.cl-->\n|"]"
"Raúl","[]"
"Eugène Ekéké","['years1    =\n|youthclubs1    =\n|years1         = 1982–1986\n|clubs1         = [[Racing Paris]]\n|caps1          = 55\n|goals1         = 25\n|years2         = 1986–1987\n|clubs2         = [[K.S.K. Beveren|Beveren]]\n|caps2          = 16\n|goals2         = 1\n|years3         = 1987–1989\n|clubs3         = [[Stade Quimpérois|Quimper]]\n|caps3          = 45\n|goals3         = 10\n|years4         = 1989–1992\n|clubs4         = [[US Valenciennes|Valenciennes]]\n|caps4          = 91\n|goals4         = 15\n|years5         = 1992–1997\n|clubs5         = [[US Maubeuge]]\n|caps5          = 41\n|goals5         = 1\n|totalcaps      = 248\n|totalgoals     = 52\n|']"
"Héctor Socorro","['years1=|clubs1=Iberia La Habana|caps1=|goals1=\n|totalcaps=|totalgoals=\n|']"
"Brett Holman","['years1    = \n|youthclubs1    = [[Northern Spirit FC|Northern Spirit]]\n|years1         = 2001–2002\n|clubs1         = [[Parramatta Power]]\n|caps1          = 13\n|goals1         = 5\n|years2         = 2002–2006\n|clubs2         = [[Feyenoord]]\n|caps2          = 0\n|goals2         = 0\n|years3         = 2002–2006\n|clubs3         = → [[SBV Excelsior|Excelsior]] (loan)\n|caps3          = 134\n|goals3         = 39\n|years4         = 2006–2008\n|clubs4         = [[NEC Nijmegen]]\n|caps4          = 59\n|goals4         = 13\n|years5         = 2008–2012\n|clubs5         = [[AZ Alkmaar|AZ]]\n|caps5          = 92\n|goals5         = 16\n|years6         = 2012–2013\n|clubs6         = [[Aston Villa F.C.|Aston Villa]]\n|caps6          = 27\n|goals6         = 1\n|years7         = 2013–2015\n|clubs7         = [[Al Nasr SC (Dubai)|Al Nasr]]\n|caps7          = 50\n|goals7         = 8\n|years8         = 2015–2016\n|clubs8         = [[Emirates Club]]\n|caps8          = 20\n|goals8         = 5\n|years9         = 2016–2019\n|clubs9         = [[Brisbane Roar FC|Brisbane Roar]]\n|caps9          = 38\n|goals9         = 10\n|']"
"Ángel Cabrera","[]"
"Fred","[]"
"Hans Cieslarczyk","['years1 =\n|          youthclubs1 =\n|               years1 = 1955–1958\n|               clubs1 = [[SV Sodingen]]\n|                caps1 = 74\n|               goals1 = 20\n|               years2 = 1958–1962\n|               clubs2 = [[Borussia Dortmund]]\n|                caps2 = 35\n|               goals2 = 6\n|               years3 = 1962–1963\n|               clubs3 = [[TSC Eintracht Dortmund|Dortmund 95]]\n|                caps3 =\n|               goals3 =\n|               years4 = 1963–1964\n|               clubs4 = [[Westfalia Herne]]\n|                caps4 = 32\n|               goals4 = 9\n|               years5 = 1964–1968\n|               clubs5 = [[Karlsruher SC]]\n|                caps5 = 66\n|               goals5 = 18\n|            totalcaps =\n|           totalgoals =\n|       ']"
"Václav Hovorka","['years1         = | clubs1 = [[SK Slavia Prague]]| caps1 = |goals1 = \n| ']"
"Juan","[]"
"Daniel Ruiz","['years1 = 1968–1969 | youthclubs1 = Sodupe\n| youthyears2 = 1969–1970 | youthclubs2 = [[CD Getxo|Getxo]]\n| youthyears3 = 1970–1971 | youthclubs3 = [[CD Laudio|Villosa]]\n| years1 = 1971–1972 | clubs1 = [[Athletic Bilbao B|Bilbao Athletic]] | caps1 = 33 | goals1 = 8\n| years2 = 1972–1986 | clubs2 = [[Athletic Bilbao]] | caps2 = 302 | goals2 = 147\n| years3 = 1972–1974 | clubs3 = → [[Barakaldo CF|Barakaldo]] (loan) | caps3 = 65 | goals3 = 9\n| totalcaps = 400 | totalgoals = 164\n| ']"
